method,dataset,n_waypoints,n_samples,max_speed,max_accel,rms_jerk,path_length,max_waypoint_err,compute_time_ms
linear,mobile_robot,12,1000,1.000000,0.000000,0.000000,24.931348,0.000000,0.134000
cubic,mobile_robot,12,1000,1.214504,1.174792,0.339612,25.505371,0.000000,0.370208
quintic,mobile_robot,12,1000,1.708948,1.491318,0.854494,25.523132,0.000000,0.750125
bspline,mobile_robot,12,1000,1.509322,0.410856,0.126223,22.917804,0.679534,0.650000
linear,robot_arm,8,1000,1.887862,0.000000,0.000000,6.373388,0.000000,0.117542
cubic,robot_arm,8,1000,2.580258,4.225276,5.190798,6.663679,0.000000,0.289959
quintic,robot_arm,8,1000,2.958025,6.810174,10.985506,7.630562,0.000000,0.672208
bspline,robot_arm,8,1000,2.831793,3.280337,1.565691,4.506669,0.395801,0.440708
